qid,rouge-2-python,rouge-2-perl,rouge-L-python,rouge-L-perl,rouge-SU4-perl
55031181e9bde69634000014,0.0930232512709575,0.13043,0.11538307625891882,0.14893,0.09399
55031181e9bde69634000014,0.4999999950000001,0.57143,0.6042744134581978,0.70312,0.57608
55031181e9bde69634000014,0.17910447274671432,0.16107,0.2380758958943647,0.25166,0.18765
55031181e9bde69634000014,0.01923076426035631,0.05405,0.1282301194575657,0.17699,0.08359
55031181e9bde69634000014,0.09195401840137427,0.13043,0.1155344918371714,0.14893,0.09399
55031181e9bde69634000014,0.07894736454293648,0.075,0.13032543437691102,0.17073,0.07826
55031181e9bde69634000014,0.0930232512709575,0.13043,0.11538307625891882,0.14893,0.09399
55031181e9bde69634000014,0.028169010751835345,0.02667,0.07268784386137837,0.12987,0.05582
55031181e9bde69634000014,0.02352940726920501,0.02247,0.11518513182477638,0.17583,0.07782
55031181e9bde69634000014,0.06666666196543243,0.14894,0.13497796098039153,0.22917,0.18015
55031181e9bde69634000014,0.0,0.05797,0.07036320280210928,0.16901,0.05584
55031181e9bde69634000014,0.2285714253714286,0.26667,0.21698146478077734,0.33766,0.25117
55031181e9bde69634000014,0.06666666196543243,0.14894,0.154260526834829,0.22917,0.18015
55031181e9bde69634000014,0.022471905446283004,0.02084,0.1156917616538334,0.12245,0.03957
55031181e9bde69634000014,0.07999999621688907,0.075,0.1297215329469338,0.17073,0.07826
55031181e9bde69634000014,0.44155843759149943,0.57143,0.3740279937787091,0.55814,0.52892
55046d5ff8aee20f27000007,0.15384614940170957,0.28571,0.2485386265185328,0.40909,0.28449
55046d5ff8aee20f27000007,0.35897435452991455,0.4,0.3723653395778134,0.47619,0.4
55046d5ff8aee20f27000007,0.0,0.0,0.07769899131100311,0.12121,0.0241
55046d5ff8aee20f27000007,0.0,0.23529,0.15799058084709233,0.33962,0.23776
55046d5ff8aee20f27000007,0.16666666170138905,0.32653,0.2764835164828851,0.31372,0.21898
55046d5ff8aee20f27000007,0.12121211786960524,0.27778,0.15706858133167195,0.36842,0.2653
55046d5ff8aee20f27000007,0.11764705382545197,0.15385,0.15083603961405337,0.29629,0.17123
55046d5ff8aee20f27000007,0.2790697626608979,0.59091,0.412698412697722,0.78261,0.54918
55046d5ff8aee20f27000007,0.058823525813149015,0.14286,0.07936507936468905,0.31818,0.16379
55046d5ff8aee20f27000007,0.09302325103299106,0.09091,0.12380952380883321,0.13043,0.05738
55046d5ff8aee20f27000007,0.058823525813149015,0.11428,0.11904761904722871,0.32433,0.12632
55046d5ff8aee20f27000007,0.05128204683760723,0.15385,0.12373478396514537,0.2439,0.15888
55046d5ff8aee20f27000007,0.10344827091557693,0.22951,0.163430420711694,0.31746,0.237
55046d5ff8aee20f27000007,0.08510637803531039,0.23529,0.19996043651643938,0.26415,0.17482
55046d5ff8aee20f27000007,0.09302325103299106,0.38298,0.247619047618357,0.40816,0.35114
54e25eaaae9738404b000017,0.0,0.0,0.037362637362712156,0.05128,0.0198
54e25eaaae9738404b000017,0.0,0.0,0.030393220168039664,0.08889,0.0168
54e25eaaae9738404b000017,0.0,0.0,0.13741833746349102,0.19047,0.06383
54e25eaaae9738404b000017,0.033333331533333434,0.03125,0.03620161514900884,0.0606,0.02198
54e25eaaae9738404b000017,0.0,0.0,0.1520572450798733,0.0,0.0
54e25eaaae9738404b000017,0.0,0.2,0.14285714285664286,0.33333,0.15
54e25eaaae9738404b000017,0.0,0.0,0.09240607513998086,0.14815,0.03077
54e25eaaae9738404b000017,0.0,0.0,0.0,0.09091,0.02
535d292a9a4572de6f000003,0.0,0.0,0.046572475143873644,0.04762,0.02727
535d292a9a4572de6f000003,0.0,0.0,0.1054131054129664,0.22223,0.08696
535d292a9a4572de6f000003,0.0,0.0,0.027849554981442447,0.10526,0.01935
535d292a9a4572de6f000003,0.0,0.0,0.12403474903438408,0.125,0.0375
535d292a9a4572de6f000003,0.0,0.0,0.09702740959973312,0.10811,0.03158
535d292a9a4572de6f000003,0.0,0.0,0.04137392661986466,0.04651,0.00885
55262a9787ecba3764000009,0.17647058339100358,0.29412,0.2108262108260718,0.33333,0.27174
55262a9787ecba3764000009,0.16326530204081643,0.2,0.14751610276163465,0.26923,0.22143
55262a9787ecba3764000009,0.06666666168888927,0.12904,0.12403474903438408,0.24242,0.08434
55262a9787ecba3764000009,0.04255318730647393,0.20833,0.12943133625446146,0.28,0.21641
55262a9787ecba3764000009,0.0,0.0,0.13333333333283334,0.13333,0.02703
55262a9787ecba3764000009,0.0,0.0,0.1376041836895812,0.13793,0.07042
55262a9787ecba3764000009,0.051282046679816326,0.05128,0.12901532146438735,0.14634,0.09346
55262a9787ecba3764000009,0.4285714241269842,0.47619,0.4223454833598104,0.54545,0.37069
55262a9787ecba3764000009,0.0,0.0,0.05272767511352641,0.09836,0.02994
55262a9787ecba3764000009,0.0,0.0,0.059006441104716034,0.07692,0.02143
55262a9787ecba3764000009,0.3809523765079365,0.48781,0.38395043941801527,0.55814,0.39823
553fa78b1d53b76422000007,0.07594936237782438,0.17242,0.10550294400789129,0.27118,0.18343
553fa78b1d53b76422000007,0.044444440000000446,0.05971,0.10774043143327519,0.14492,0.03665
553fa78b1d53b76422000007,0.0,0.01835,0.03989153242103631,0.09009,0.02839
553fa78b1d53b76422000007,0.027777772916667512,0.04167,0.07712858423744115,0.10204,0.03238
553fa78b1d53b76422000007,0.027027022205990632,0.07767,0.11628900935293081,0.17143,0.0602
553fa78b1d53b76422000007,0.024096380926114977,0.07692,0.08281754826308439,0.15,0.07142
553fa78b1d53b76422000007,0.03278688024724613,0.11111,0.0951901405068936,0.17392,0.09616
553fa78b1d53b76422000007,0.05607476231985356,0.07246,0.0643940915189114,0.14286,0.05941
553fa78b1d53b76422000007,0.04347825633270369,0.05883,0.1440756108799547,0.17142,0.05154
553fa78b1d53b76422000007,0.20833332864583345,0.27397,0.39678035470601003,0.4,0.27273
553fa78b1d53b76422000007,0.04123710912955725,0.13139,0.08748942802877879,0.23022,0.14464
553fa78b1d53b76422000007,0.0,0.16091,0.12255590129491636,0.20225,0.13546
553fa78b1d53b76422000007,0.0,0.04939,0.04220117760316294,0.12048,0.04721
