qid,oracle1Summary,oracle1SU4,oracle2Summary,oracle2SU4
55031181e9bde69634000014,"In this study, we review the identification of genes and loci involved in the non-syndromic common form and syndromic Mendelian forms of Hirschsprung's disease. The majority of the identified genes are related to Mendelian syndromic forms of Hirschsprung's disease. The non-Mendelian inheritance of sporadic non-syndromic Hirschsprung's disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model The majority of the identified genes are related to Mendelian syndromic forms of Hirschsprung's disease The non-Mendelian inheritance of sporadic non-syndromic Hirschsprung's disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model",0.44806,Chromosomal and related Mendelian syndromes associated with Hirschsprung's disease. The majority of the identified genes are related to Mendelian syndromic forms of Hirschsprung's disease The non-Mendelian inheritance of sporadic non-syndromic Hirschsprung's disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model,0.61875
55046d5ff8aee20f27000007," EGFR ligands epidermal growth factor (EGF), amphiregulin (AREG) and transforming growth factor alpha (TGFα) the 7 known EGFR ligands (EGF, betacellulin, epiregulin, heparin-binding EGF, transforming growth factor-α [TGF-α], amphiregulin, and epigen)  mammalian EGFR ligands including EGF, TGF-α (TGFα), amphiregulin (AREG), heparin-binding EGF-like growth factor (HB-EGF), betacellulin, epiregulin, and epigen.",0.45374," EGFR and its ligand EGF  Among EGFR ligands, heparin-binding epidermal growth factor (HB-EGF) the 7 known EGFR ligands (EGF, betacellulin, epiregulin, heparin-binding EGF, transforming growth factor-α [TGF-α], amphiregulin, and epigen) ",0.52096
54e25eaaae9738404b000017,"apilins are homologous, secreted extracellular matrix proteins which share a common order of protein domains.  Papilin is an extracellular matrix glycoprotein   Collagen IV, laminin, glutactin, papilin, and other extracellular matrix proteins were made primarily by hemocytes and were secreted into the medium. ",0.04687,"apilins are homologous, secreted extracellular matrix proteins which share a common order of protein domains.  Papilins are extracellular matrix proteins  Papilin is an extracellular matrix glycoprotein ",0.075
535d292a9a4572de6f000003,"For alternative exons and long noncoding RNAs, splicing tends to occur later, and the latter might remain unspliced in some cases. We introduce an approach to predict spliced lncRNAs in vertebrate genomes combining comparative genomics and machine learning. Owing to similar alternative splicing pattern to mRNAs, the concept of lncRNA genes was put forward to help systematic understanding of lncRNAs. ",0.05264,"Our analyses indicate that lncRNAs are generated through pathways similar to that of protein-coding genes, with similar histone-modification profiles, splicing signals, and exon/intron lengths. For alternative exons and long noncoding RNAs, splicing tends to occur later, and the latter might remain unspliced in some cases. We introduce an approach to predict spliced lncRNAs in vertebrate genomes combining comparative genomics and machine learning.",0.05358
55262a9787ecba3764000009,Osteoprotegerin (OPG) is a soluble secreted factor that acts as a decoy receptor for receptor activator of NF-κB ligand (RANKL)  Receptor activator of nuclear factor κB ligand (RANKL) and osteoprotegerin (OPG) are cytokines predominantly secreted by osteoblasts and play a central role in differentiation and functional activation of osteoclasts Osteoprotegerin (OPG) and receptor activator of nuclear factor κB ligand (RANKL) are cytokines predominantly secreted by osteoblasts and play critical roles in the differentiation and function of osteoclasts. ,0.19391,Osteoprotegerin (OPG) is a soluble secreted factor that acts as a decoy receptor for receptor activator of NF-κB ligand (RANKL)  We identify a TNFSF11 transcript variant that extends the originally identified transcript encoding secreted RANKL. Osteoprotegerin (OPG) and receptor activator of nuclear factor κB ligand (RANKL) are cytokines predominantly secreted by osteoblasts and play critical roles in the differentiation and function of osteoclasts. ,0.24435
553fa78b1d53b76422000007,"Finally, five promising differentially miRNAs (miR-200a, miR-100, miR-141, miR-200b, and miR-200c) were reported with the consistent direction in four or more studies. MiR-200a, miR-200b, miR-200c, and miR-141, all of them belong to miR-200 family, were reported with consistently up-regulated in at least 4 studies, whereas miR-100 was reported with down-regulated in 4 studies Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer. Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer",0.27522,"Finally, five promising differentially miRNAs (miR-200a, miR-100, miR-141, miR-200b, and miR-200c) were reported with the consistent direction in four or more studies. MiR-200a, miR-200b, miR-200c, and miR-141, all of them belong to miR-200 family, were reported with consistently up-regulated in at least 4 studies, whereas miR-100 was reported with down-regulated in 4 studies Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer. miRNAs-21, 92 and 93 are known oncogenes with therapeutic and biomarker potential",0.28027
5149199dd24251bc05000040,"Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Despite a lack of data from well controlled clinical trials to support their use, AChE inhibitors, of which pyridostigmine is the most commonly used, are recommended as first-line therapy for MG.  Novel AChE inhibitors with oral antisense oligonucleotides have been developed and preliminary results appear to be promising.",0.29537,"Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Novel AChE inhibitors with oral antisense oligonucleotides have been developed and preliminary results appear to be promising. Acetylcholinesterase inhibitors provide temporary, symptomatic treatment for all forms of myasthenia gravis. ",0.33484
52bf1db603868f1b06000011,"Denosumab is a RANK-ligand antibody that was approved by the FDA in 2010 for the prevention of skeletal fractures in patients with bone metastases from solid tumors. A fourth agent, denosumab (bone targeted therapy) was also recently approved by the FDA for patients with bone metastasis after showing a reduction in the occurrence of skeletal-related events.  Recently, denosumab was FDA-approved for prevention of SREs in patients with bone metastases from solid tumors. ",0.12711,"Denosumab is a RANK-ligand antibody that was approved by the FDA in 2010 for the prevention of skeletal fractures in patients with bone metastases from solid tumors. Recently, denosumab was FDA-approved for prevention of SREs in patients with bone metastases from solid tumors.  Raloxifene and denosumab are only FDA approved for postmenopausal osteoporosis.",0.17045
5709e4b2cf1c32585100001c," In this study, we explore the cause of HSCR by studying the expression of DVL-1 and DVL-3 genes and their proteins in the aganglionic segment and the ganglionic segment of colon in HSCR patients. velopmental processes, including segmentation and neuroblast specification. We have isolated and characterized cDNA clones from two different human dsh-homologous genes, designated as DVL-1 and DVL-3.  We report here that the mouse Dishevelled-1 (Dvl-1) and Dishevelled-2 genes encode proteins that are differentially localized in Wnt-overexpressing PC12 cell lines (PC12/Wnt). ",0.00743,"velopmental processes, including segmentation and neuroblast specification. We have isolated and characterized cDNA clones from two different human dsh-homologous genes, designated as DVL-1 and DVL-3.  We report here that the mouse Dishevelled-1 (Dvl-1) and Dishevelled-2 genes encode proteins that are differentially localized in Wnt-overexpressing PC12 cell lines (PC12/Wnt).  Recently, the DVL1 gene was identified as a middle molecule of the Wnt/beta-catenin signaling pathway. ",0.00944
56bc751eac7ad10019000013,"Acrokeratosis paraneoplastica of Bazex is a rare but important paraneoplastic dermatosis, usually manifesting as psoriasiform rashes over the acral sites. Acrokeratosis paraneoplastic (Bazex syndrome) is a rare, but distinctive paraneoplastic dermatosis characterized by erythematosquamous lesions located at the acral sites and is most commonly associated with carcinomas of the upper aerodigestive tract.  BACKGROUND: Acrokeratosis paraneoplastica Bazex (APB) is a very rare disease in the group of obligate paraneoplastic dermatoses, associated mostly with squamous cell carcinoma of the upper aerodigestive tract and metastatic cervical lymphadenopathy. ",0.53013,"Acrokeratosis paraneoplastic (Bazex syndrome) is a rare, but distinctive paraneoplastic dermatosis characterized by erythematosquamous lesions located at the acral sites and is most commonly associated with carcinomas of the upper aerodigestive tract.  Acrokeratosis paraneoplastica (Bazex' syndrome). Acrokeratosis paraneoplastica of Bazex.",0.88
